SCID,TID,RID,SCORE,STID,SESSID
1,1,1,0,2,2016
2,1,2,0,2,2016
3,1,3,0,2,2016
4,1,4,0,2,2016
5,1,5,0,2,2016
6,1,6,0,2,2016
7,1,7,0,2,2016
8,2,1,0,2,2016
9,2,2,0,2,2016
10,2,3,0,2,2016
11,2,4,0,2,2016
12,2,5,0,2,2016
13,2,6,0,2,2016
14,2,7,0,2,2016
15,3,1,0,2,2016
16,3,2,0,2,2016
17,3,3,0,2,2016
18,3,4,0,2,2016
19,3,5,0,2,2016
20,3,6,0,2,2016
21,3,7,0,2,2016
22,4,1,0,2,2016
23,4,2,0,2,2016
24,4,3,0,2,2016
25,4,4,0,2,2016
26,4,5,0,2,2016
27,4,6,0,2,2016
28,4,7,0,2,2016
29,5,1,0,2,2016
30,5,2,0,2,2016
31,5,3,0,2,2016
32,5,4,0,2,2016
33,5,5,0,2,2016
34,5,6,0,2,2016
35,5,7,0,2,2016
36,6,1,0,2,2016
37,6,2,0,2,2016
38,6,3,0,2,2016
39,6,4,0,2,2016
40,6,5,0,2,2016
41,6,6,0,2,2016
42,6,7,0,2,2016
43,7,8,0,1,2016
44,7,9,0,1,2016
45,7,10,0,1,2016
46,7,11,0,1,2016
47,7,12,0,1,2016
48,7,13,0,1,2016
49,8,8,0,1,2016
50,8,9,0,1,2016
51,8,10,0,1,2016
52,8,11,0,1,2016
53,8,12,0,1,2016
54,8,13,0,1,2016
55,9,8,0,1,2016
56,9,9,0,1,2016
57,9,10,0,1,2016
58,9,11,0,1,2016
59,9,12,0,1,2016
60,9,13,0,1,2016
61,10,8,0,1,2016
62,10,9,0,1,2016
63,10,10,0,1,2016
64,10,11,0,1,2016
65,10,12,0,1,2016
66,10,13,0,1,2016
67,11,8,0,1,2016
68,11,9,0,1,2016
69,11,10,0,1,2016
70,11,11,0,1,2016
71,11,12,0,1,2016
72,11,13,0,1,2016
73,12,8,0,1,2016
74,12,9,0,1,2016
75,12,10,0,1,2016
76,12,11,0,1,2016
77,12,12,0,1,2016
78,12,13,0,1,2016
